Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_252,POINT (9292 8548),9292,8548,22.781820139913663,69.4963644616469,100.0,120.0,Passenger_ship,90
target_253,POINT (7490 8654),7490,8654,22.74190906829646,69.66679436576969,40.0,20.0,Fishing_Ship,91
target_255,POINT (7492 8697),7492,8697,22.73805195262889,69.66585646798829,50.0,60.0,Passenger_ship,92
target_256,POINT (7505 8701),7505,8701,22.737910657657512,69.66453944625823,30.0,60.0,Passenger_ship,93
target_257,POINT (7494 8711),7494,8711,22.73682171365859,69.66540655996053,50.0,60.0,Passenger_ship,94
target_258,POINT (7506 8714),7506,8714,22.73680739881923,69.66416507437921,60.0,70.0,Passenger_ship,95
target_259,POINT (7431 8576),7431,8576,22.747945451145725,69.67392561428339,50.0,100.0,Passenger_ship,96
target_260,POINT (7416 8581),7416,8581,22.747248773052203,69.6752198829365,40.0,40.0,Tugs_ship,97
target_265,POINT (7104 8719),7104,8719,22.72951181169507,69.7025040712753,140.0,100.0,Passenger_ship,98
target_274,POINT (8513 8630),8513,8630,22.761319848002515,69.56938613399647,40.0,20.0,Fishing_Ship,99
target_275,POINT (8650 8633),8650,8633,22.763392641759324,69.55628272334883,50.0,50.0,Tugs_ship,100
target_276,POINT (8662 8648),8662,8648,22.762195312041047,69.5548495937429,30.0,20.0,Fishing_Ship,101
target_277,POINT (8507 8684),8507,8684,22.756335033410874,69.56901369025212,50.0,80.0,Passenger_ship,102
target_278,POINT (8527 8749),8527,8749,22.750848474485217,69.56591312029076,70.0,70.0,Passenger_ship,103
target_279,POINT (8528 8767),8528,8767,22.749248615220232,69.56543825961296,100.0,110.0,Passenger_ship,104
target_286,POINT (3807 8427),3807,8427,22.699868775768753,70.02312580793404,280.0,170.0,Passenger_ship,105
target_296,POINT (22277 8404),22277,8404,23.007955969361767,68.25445035477614,40.0,50.0,Tugs_ship,106
target_297,POINT (6610 8807),6610,8807,22.713202332182288,69.74815902836005,170.0,160.0,Passenger_ship,107
target_299,POINT (4248 8933),4248,8933,22.661698783764447,69.97152191789708,220.0,150.0,Passenger_ship,109
target_300,POINT (4380 9057),4380,9057,22.652743935394223,69.95664141657346,270.0,190.0,Passenger_ship,110
target_302,POINT (7481 8810),7481,8810,22.727708241533165,69.66482974176229,30.0,30.0,Tugs_ship,112
target_303,POINT (7477 8820),7477,8820,22.726746140043698,69.6649796368192,60.0,70.0,Passenger_ship,113
