Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_394,POINT (5285 11133),5285,11133,22.480761262428487,69.83092926140998,60.0,60.0,Passenger_ship,182
target_395,POINT (5249 11189),5249,11189,22.47514051553064,69.83331381043507,100.0,70.0,Passenger_ship,183
target_396,POINT (7754 11060),7754,11060,22.529271953399554,69.59662846115263,200.0,190.0,Passenger_ship,184
target_398,POINT (6633 11079),6633,11079,22.508574470108318,69.70334462097793,50.0,50.0,Tugs_ship,185
target_400,POINT (6833 11341),6833,11341,22.488325875986728,69.67926557497259,100.0,90.0,Passenger_ship,187
target_401,POINT (6782 11392),6782,11392,22.48280677008626,69.68321030653392,50.0,60.0,Passenger_ship,188
target_402,POINT (6646 11417),6646,11417,22.478256828172736,69.69567234092358,80.0,80.0,Passenger_ship,189
target_403,POINT (6773 11436),6773,11436,22.47873752798047,69.68320128725033,40.0,50.0,Tugs_ship,190
target_404,POINT (5717 11269),5717,11269,22.475832482410226,69.78712624389519,60.0,60.0,Passenger_ship,191
target_405,POINT (7041 11205),7041,11205,22.504119327236577,69.66197340646617,220.0,90.0,Passenger_ship,192
target_406,POINT (7058 11204),7058,11204,22.504488887073453,69.66041709606134,30.0,50.0,Tugs_ship,193
target_408,POINT (10778 11186),10778,11186,22.568708803649212,69.30541178544499,40.0,30.0,Tugs_ship,195
target_409,POINT (12576 11146),12576,11146,22.602242899992124,69.1343010245839,60.0,100.0,Passenger_ship,196
target_410,POINT (9716 11394),9716,11394,22.532101407683722,69.40302823900953,30.0,40.0,Tugs_ship,197
target_411,POINT (22905 11200),22905,11200,22.7659647234047,68.1447096295785,40.0,40.0,Tugs_ship,198
target_412,POINT (5411 11565),5411,11565,22.443917659800178,69.81072148734894,40.0,40.0,Tugs_ship,199
target_413,POINT (5335 11678),5335,11678,22.43247289481958,69.81584144882619,60.0,90.0,Passenger_ship,200
target_414,POINT (5582 11451),5582,11451,22.45714955620263,69.79662112150429,130.0,190.0,Passenger_ship,201
target_415,POINT (5651 11499),5651,11499,22.453999542767377,69.78908086748648,60.0,70.0,Passenger_ship,202
target_416,POINT (5555 11558),5555,11558,22.447042909760064,69.79712390891672,40.0,50.0,Tugs_ship,203
target_417,POINT (5484 11585),5484,11585,22.443353991390506,69.80337753436686,60.0,100.0,Passenger_ship,204
target_420,POINT (6889 11727),6889,11727,22.454442430855607,69.66664344026472,140.0,70.0,Passenger_ship,205
