Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_253,POINT (3482 4974),3482,4974,49.21979372422986,-123.25777953867431,31.25,37.5,Tugs_ship,88
target_265,POINT (3450 5227),3450,5227,49.20610847423757,-123.26413727022316,37.5,43.75,Tugs_ship,89
target_272,POINT (4215 5546),4215,5546,49.18119001725626,-123.20416133409985,25.0,18.75,Fishing_Ship,90
target_273,POINT (4412 5505),4412,5505,49.18156732451441,-123.186962332745,43.75,37.5,Tugs_ship,91
target_297,POINT (4079 6379),4079,6379,49.13635588932186,-123.2278808996842,25.0,31.25,Tugs_ship,93
target_298,POINT (5751 6306),5751,6306,49.12441289842445,-123.08575616716612,256.25,212.5,Cargo_or_Tanker_ship,94
target_299,POINT (5760 6323),5760,6323,49.1234129263919,-123.08524175201148,18.75,31.25,Tugs_ship,95
target_300,POINT (5768 6327),5768,6327,49.123087001893616,-123.08463362603308,18.75,37.5,Tugs_ship,96
target_301,POINT (5753 6327),5753,6327,49.12325380505184,-123.08584948247538,25.0,18.75,Fishing_Ship,97
target_302,POINT (5744 6405),5744,6405,49.11902599642486,-123.08780839408074,81.25,68.75,Passenger_ship,98
target_305,POINT (4885 6736),4885,6736,49.10891336649846,-123.16511825691346,37.5,43.75,Tugs_ship,100
target_307,POINT (5004 6747),5004,6747,49.107145796313716,-123.15529205758568,43.75,37.5,Tugs_ship,101
target_310,POINT (4608 6518),4608,6518,49.123633259158055,-123.18531909984358,31.25,31.25,Tugs_ship,103
target_311,POINT (4581 6531),4581,6531,49.123171011594856,-123.18778843687971,31.25,31.25,Tugs_ship,104
target_312,POINT (5744 6405),5744,6405,49.11902599642486,-123.08780839408074,81.25,68.75,Passenger_ship,105
target_317,POINT (3282 7059),3282,7059,49.106248534488856,-123.30508993299671,25.0,43.75,Tugs_ship,106
target_318,POINT (3627 6825),3627,6825,49.115945897761286,-123.272558839827,25.0,18.75,Fishing_Ship,107
target_319,POINT (3647 6834),3647,6834,49.1152578012225,-123.27100297165916,50.0,43.75,Tugs_ship,108
target_328,POINT (6543 7525),6543,7525,49.04929076549457,-123.03710657584088,68.75,62.5,Passenger_ship,109
target_329,POINT (6698 7352),6698,7352,49.05740327712841,-123.02146701233059,56.25,68.75,Passenger_ship,110
target_331,POINT (5855 8025),5855,8025,49.02824732422036,-123.10241966603071,12.5,31.25,Tugs_ship,111
target_332,POINT (5848 7928),5848,7928,49.033690740776464,-123.10161413932155,31.25,43.75,Tugs_ship,112
target_333,POINT (5855 8025),5855,8025,49.02824732422036,-123.10241966603071,12.5,31.25,Tugs_ship,113
target_336,POINT (5086 8281),5086,8281,49.02141198575189,-123.17095773320692,87.5,175.0,Passenger_ship,114
